AGE,SEX,SCHL,WORK,INCOME
31,여,중졸이하,기업,24600
23,남,중졸이하,기업,20000
34,남,전문학사,기업,75000
28,남,고졸,기업,18600
38,남,석사,공무원,79000
34,여,석사,공무원,74000
27,여,석사,비영리단체,57110
25,여,학사,공무원,33000
34,여,고졸,자영업,16000
41,여,고졸,비영리단체,52000
50,여,고졸,기업,30000
24,남,중졸이하,기업,17000
49,남,고졸,기업,56000
30,남,학사,기업,39500
25,남,학사,기업,27000
50,여,고졸,기업,21000
43,여,학사,기업,45000
32,남,전문학사,기업,33600
39,여,학사,자영업,6000
40,남,고졸,기업,50000
25,여,고졸,기업,25000
32,남,중졸이하,기업,24000
41,남,석사,기업,108000
49,남,학사,기업,8250000
45,여,학사,비영리단체,40000
29,남,전문학사,기업,46000
32,남,학사,기업,29800
40,남,학사,기업,60060
37,남,고졸,기업,100000
38,여,고졸,기업,33300
31,남,전문학사,비영리단체,59000
50,남,고졸,기업,23100
27,남,학사,공무원,44000
27,여,학사,비영리단체,18000
39,여,전문학사,비영리단체,45000
36,남,전문학사,기업,41000
48,여,고졸,기업,23000
40,남,학사,비영리단체,52000
35,남,중졸이하,기업,45000
35,남,고졸,기업,16000
38,여,고졸,공무원,29000
42,남,고졸,기업,33500
44,남,고졸,자영업,25000
45,남,학사,기업,64100
25,남,학사,공무원,60000
50,남,전문학사,기업,47000
50,여,전문학사,기업,41200
39,남,전문학사,기업,140000
38,여,학사,기업,60000
44,남,고졸,자영업,25000
42,여,고졸,비영리단체,20300
48,남,전문학사,비영리단체,58000
40,여,전문학사,공무원,74000
35,여,전문학사,기업,39500
37,남,중졸이하,공무원,33000
-128,남,고졸,기업,null
40,남,학사,자영업,11000
35,남,전문학사,자영업,10000
35,남,전문학사,기업,39000
46,남,고졸,자영업,20001
41,여,고졸,자영업,12000
33,남,석사,기업,50000
42,여,고졸,기업,20100
30,남,학사,기업,10000
29,여,전문학사,기업,35700
40,남,석사,공무원,67000
38,여,전문학사,기업,26000
48,남,석사,공무원,27000
44,여,석사,공무원,51000
48,여,전문학사,기업,45000
50,남,학사,기업,92000
