AGE,SEX,SCHL,WORK,INCOME
34,남,고졸,공무원,26400
30,여,석사,공무원,44000
38,여,전문학사,기업,52000
43,여,전문학사,기업,31000
45,남,중졸이하,기업,32000
49,남,고졸,기업,40000
45,여,전문학사,비영리단체,35200
48,여,고졸,기업,32000
48,여,전문학사,기업,4800
47,여,전문학사,비영리단체,10000
37,남,학사,공무원,26000
26,여,고졸,기업,12000
35,여,학사,기업,100000
38,남,석사,기업,150000
35,남,석사,기업,123000
39,남,전문학사,기업,26800
23,남,고졸,기업,15000
39,남,석사,자영업,130100
48,여,학사,비영리단체,33200
48,여,전문학사,비영리단체,40000
50,남,중졸이하,기업,56900
30,남,학사,기업,40000
43,남,고졸,기업,70000
43,여,석사,기업,33000
27,여,고졸,기업,20000
40,남,전문학사,기업,26000
39,여,학사,비영리단체,40500
28,남,중졸이하,기업,40000
28,남,고졸,기업,33000
29,남,고졸,기업,15000
33,여,전문학사,기업,33700
34,남,전문학사,자영업,64000
30,남,전문학사,기업,64000
29,여,학사,기업,30000
50,남,학사,비영리단체,37000
25,여,고졸,기업,13000
44,남,석사,기업,45000
43,여,고졸,기업,17500
42,여,전문학사,기업,28000
26,남,중졸이하,기업,22000
22,남,중졸이하,기업,17000
50,남,고졸,기업,85000
47,남,전문학사,기업,90000
45,남,전문학사,기업,30000
45,여,고졸,기업,11400
22,남,전문학사,기업,30000
33,남,전문학사,기업,91000
24,여,전문학사,기업,27000
26,남,고졸,기업,29000
42,남,전문학사,기업,75000
43,여,학사,기업,90000
24,여,전문학사,기업,23000
